2020-07-21T11:29:37Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:29:53Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:30:11Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022GL,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T11:33:41Z,F4-B64,NHE_F4-B64_FATP-FCHECK_02,WIP07201HFDE022G3,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:02:17Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022H7,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:08:26Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022HA,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:09:52Z,F4-B64,NHE_F4-B64_FATP-FCHECK_01,WIP07201HFDE022H7,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:11:03Z,F4-B64,NHE_F4-B64_FATP-FCHECK_02,WIP07201HFDE022H9,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:17:51Z,F4-B64,NHE_F4-B64_FATP-FCHECK_02,WIP07201HFDE022FY,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:29:40Z,F4-B54,NHE_F4-B54_FATP-FCHECK_04,WIP07201HFDE02167,"Check_hash_diff
","Check_hash_diff  1036
"
2020-07-21T12:35:12Z,F4-B54,NHE_F4-B54_FATP-FCHECK_02,WIP07201HFDE02163,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T12:41:55Z,F4-B54,NHE_F4-B54_FATP-FCHECK_06,WIP07201HFDE0215A,"Check_hash_diff
","Check_hash_diff  253
"
2020-07-21T13:10:41Z,F4-B54,NHE_F4-B54_FATP-FCHECK_03,WIP07201HFDE0216T,"Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_CRC
","Check_CEC_WLMAC  FAIL
Check_CEC_BTMAC  FAIL
Check_CEC_CRC  FAIL
"
2020-07-21T13:14:55Z,F4-B54,NHE_F4-B54_FATP-FCHECK_03,WIP07201HFDE0215W,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T13:16:12Z,F4-B64,NHE_F4-B64_FATP-FCHECK_04,WIP07201HFDE022LL,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
2020-07-21T13:18:46Z,F4-B64,NHE_F4-B64_FATP-FCHECK_03,WIP07201HFDE022LM,"Get_CEC_Boot
Get_CEC_FSI
Get_CEC_WIFI_Region
Get_CEC_WLMAC
Get_CEC_BTMAC
Get_CEC_SKU
Get_CEC_Locales
Get_CEC_CRC
Get_CEC_KeyStatus
Check_CEC_Boot
Check_CEC_FSI
Check_CEC_WIFI_Region
Check_CEC_WLMAC
Check_CEC_BTMAC
Check_CEC_SKU
Check_CEC_Locales
Check_CEC_CRC
Check_CEC_KeyStatus
","Get_CEC_Boot  None
Get_CEC_FSI  None
Get_CEC_WIFI_Region  None
Get_CEC_WLMAC  None
Get_CEC_BTMAC  None
Get_CEC_SKU  None
Get_CEC_Locales  None
Get_CEC_CRC  None
Get_CEC_KeyStatus  None
Check_CEC_Boot  None
Check_CEC_FSI  None
Check_CEC_WIFI_Region  None
Check_CEC_WLMAC  None
Check_CEC_BTMAC  None
Check_CEC_SKU  None
Check_CEC_Locales  None
Check_CEC_CRC  None
Check_CEC_KeyStatus  None
"
